imdbid	title	wdid	rtid	mmid
tt0084745	Swamp Thing	Q1810512	swamp_thing	4238
tt0085852	Liquid Sky	Q1810871	liquid_sky	17491
tt0384810	Around the Bend	Q1810952	around_the_bend	24953
tt0028010	My Man Godfrey	Q1811134	1014536-my_man_godfrey	29326
tt0084777	Tenebrae	Q1811797	tenebre	11716
tt0059418	Major Dundee	Q1811900	major_dundee	11638
tt0071517	Foxy Brown	Q1440249	foxy_brown	5374
tt1157705	Roman Polanski: Wanted and Desired	Q1440375	roman_polanski_wanted_and_desired	50209
tt1780762	Aftershock	Q1443555	aftershock_2012	83309
tt0234041	Roberto Succo	Q1443738	null	5369
tt0258470	Bubble Boy	Q1444046	bubble_boy	4518
tt0308808	Revolution OS	Q1435107	revolution-os	85723
tt0036261	Phantom of the Opera	Q1435221	1016241-phantom_of_the_opera	3448
tt0479916	Following Sean	Q1435557	null	32700
tt0089160	Fool for Love	Q1435973	fool_for_love	25615
tt0101902	For the Boys	Q1436574	for_the_boys	13922
tt0039190	The Bishop's Wife	Q1436798	null	5124
tt0056910	Suzanne's Career	Q1213752	suzannes-career-1963	39413
tt0028683	Camille	Q1213755	1003441-camille	3370
tt0077305	The Cat from Outer Space	Q1213779	cat_from_outer_space	10662
tt0093640	No Way Out	Q1473878	1015218-no_way_out	3463
tt0332375	Saved!	Q1474127	saved	11457
tt0410097	Hustle & Flow	Q1474263	hustle_and_flow	28653
tt0090056	Spies Like Us	Q1474279	spies_like_us	2397
tt0097216	Do the Right Thing	Q1141252	do_the_right_thing	2220
tt0051756	I Married a Monster from Outer Space	Q1141257	i_married_a_monster_from_outer_space	11936
tt0027521	The Devil-Doll	Q1141261	null	4658
tt0112744	The Crossing Guard	Q1141286	crossing_guard	721
tt0132477	October Sky	Q1141420	october_sky	3432
tt0251160	John Q	Q1141457	john_q	1946
tt1320261	Gulliver's Travels	Q1320997	gullivers-travels-2010	66810
tt0146984	The Legend of Bagger Vance	Q1141877	legend_of_bagger_vance	160
tt0328538	Thirteen	Q1141912	thirteen	14503
tt0116253	Executive Decision	Q1142051	executive_decision	601
tt0078163	Revenge of the Pink Panther	Q1142181	null	3749
tt0117765	Striptease	Q1141460	striptease	625
tt0041452	The Heiress	Q1141493	heiress	2533
tt0068833	The Last House on the Left	Q1141504	last_house_on_the_left	3277
tt0454841	The Hills Have Eyes	Q1141519	hills_have_eyes	33374
tt0087909	Phenomena	Q1474376	null	6427
tt0120177	Spawn	Q1474393	spawn	816
tt0126604	Pecker	Q1474562	pecker	3353
tt0081499	The Young Master	Q1474616	null	29248
tt0380623	The Perfect Man	Q1474655	perfect_man	23112
tt0095188	Funny Farm	Q1474737	1007990-funny_farm	4262
tt1210042	Brooklyn's Finest	Q905385	brooklyns_finest	50878
tt0044811	Secrets of Women	Q1078811	kvinnors-vantan-secrets-of-women-waiting-women	11676
tt0051365	The Magician	Q1078890	null	5534
