imdbid	title	wdid	rtid	mmid
tt1741542	A Gang Story	Q593	les_lyonnais_2011	71345
tt1675434	The Intouchables	Q595	the_intouchables	80702
tt0104812	Map of the Human Heart	Q32424	map_of_the_human_heart	3751
tt0443272	Lincoln	Q32433	lincoln_2011	88925
tt0492044	The Haunting in Connecticut	Q45692	1188732-haunting_in_connecticut	45244
tt0457275	Altered	Q45794	null	40530
tt0397535	Memoirs of a Geisha	Q45839	memoirs_of_a_geisha	27773
tt1220220	Motherhood	Q45860	motherhood	52760
tt0084228	Labyrinth of Passion	Q46044	labyrinth_of_passion	9377
tt0075314	Taxi Driver	Q47221	taxi_driver	701
tt0041716	On the Town	Q32011	1015542-on_the_town	5144
tt0057372	The Nutty Professor	Q32228	1015348-nutty_professor	1336
tt0374639	Incident at Loch Ness	Q32241	incident_at_loch_ness	24350
tt2106476	The Hunt	Q32303	the_hunt_2013	83231
tt1361843	Van Diemen's Land	Q24154	van_diemens_land	60039
tt1772250	The Hidden Face	Q24196	la_cara_oculta	79908
tt0105764	Visions of Light	Q24258	visions_of_light_the_art_of_cinematography	31331
tt1533749	Shaolin	Q24515	shaolin	73120
tt0036341	The Seventh Victim	Q31212	null	3311
tt1436568	Assassination Games	Q31540	assassination_games	71055
tt1172991	The Company Men	Q31791	the-company-men	61384
tt0035244	Reap the Wild Wind	Q31971	null	12849
tt0073817	Swept Away	Q1365	1020710-swept_away	6742
tt1250777	Kick-Ass	Q2201	1217700	53857
tt0100758	Teenage Mutant Ninja Turtles	Q58439	teenage_mutant_ninja_turtles_the_movie	4766
tt0473188	The Death and Life of Bobby Z	Q38486	the_death_and_life_of_bobby_z	36092
tt0051808	The Hidden Fortress	Q39946	1009583-hidden_fortress	3397
tt0074512	Family Plot	Q47296	family_plot	1125
tt0076666	Saturday Night Fever	Q47654	saturday_night_fever	1790
tt1392197	Marmaduke	Q48734	marmaduke	9115
tt0482571	The Prestige	Q46551	prestige	38079
tt0091499	Maximum Overdrive	Q46637	maximum_overdrive	5162
tt0325980	Pirates of the Caribbean: The Curse of the Black Pearl	Q46717	pirates_of_the_caribbean_the_curse_of_the_black_pearl	7177
tt0042179	Abbott and Costello in the Foreign Legion	Q23896	null	6857
tt0120685	Godzilla	Q24075	godzilla	759
tt0050083	12 Angry Men	Q2345	1000013-12_angry_men	435
tt1232200	That's My Boy	Q32535	thats_my_boy	82879
tt0421054	Domino	Q32910	domino	28411
tt1151915	Nothing like the Holidays	Q33131	nothing_like_the_holidays	51821
tt1079444	Dead like Me: Life After Death	Q33148	null	55540
tt0031971	Stagecoach	Q50714	1019774-stagecoach	2275
tt0337978	Live Free or Die Hard	Q50861	live_free_or_die_hard	40519
tt0116329	Fly Away Home	Q49018	fly_away_home	1237
tt0068646	The Godfather	Q47703	godfather	320
tt1716777	People Like Us	Q33191	people_like_us_2012	84486
tt0068457	Deathdream	Q33671	null	22667
tt0047396	Rear Window	Q34414	1017289-rear_window	847
tt0120679	Frida	Q35738	frida	4273
tt0082934	The Postman Always Rings Twice	Q36739	1016592-postman_always_rings_twice	4932
tt2006040	A Fantastic Fear of Everything	Q3242	a_fantastic_fear_of_everything	80377
tt0086250	Scarface	Q47075	1018324-scarface	113
tt0403508	The Sisterhood of the Traveling Pants	Q40119	sisterhood_of_the_traveling_pants	28118
tt0141098	Forces of Nature	Q40182	forces_of_nature	399
tt0120655	Dogma	Q40187	dogma	80
tt0033467	Citizen Kane	Q24815	citizen_kane	181
tt0031381	Gone with the Wind	Q2875	gone_with_the_wind	1378
tt0062711	Barbarella	Q41132	barbarella	2458
tt0328589	Under the Tuscan Sun	Q41315	under_the_tuscan_sun	8667
tt0060196	The Good, the Bad and the Ugly	Q41483	good_the_bad_and_the_ugly	332
tt0106677	Dazed and Confused	Q39975	dazed_and_confused	1429
tt0113749	Mallrats	Q39999	mallrats	267
tt0137338	200 Cigarettes	Q40071	200_cigarettes	991
tt0105327	School Ties	Q40074	school_ties	11163
tt0118842	Chasing Amy	Q40115	chasing_amy	268
tt0091278	Iron Eagle	Q39956	iron_eagle	3007
tt0095382	Iron Eagle II	Q39960	iron_eagle_2	6062
tt0103617	Aces: Iron Eagle III	Q39969	iron_eagle_3_aces	7559
tt0103893	Buffy the Vampire Slayer	Q39970	buffy_the_vampire_slayer	713
tt0119654	Men in Black	Q51416	men_in_black	192
tt0335345	The Passion of the Christ	Q51668	passion_of_the_christ	6964
tt0449088	Pirates of the Caribbean: At World's End	Q54274	pirates_of_the_caribbean_3	38169
tt0088083	Sexmission	Q54966	seksmisja	6286
tt0082755	Teddy Bear	Q54979	null	23650
tt0067484	I Hate Mondays	Q54981	null	43977
tt0083271	Vabank	Q54993	null	73385
tt1371155	Made in Dagenham	Q53096	made_in_dagenham	59779
tt0079579	Moscow Does Not Believe in Tears	Q53105	null	14796
tt0962726	High School Musical 3: Senior Year	Q53115	10009594-high_school_musical_3_senior_year	49976
tt0046438	Tokyo Story	Q26060	tokyo_story	4278
tt0104009	Cool World	Q26265	1040378	948
tt0104627	Knight Moves	Q26391	knight_moves	4542
tt0056687	What Ever Happened to Baby Jane?	Q26644	what-ever-happened-to-baby-jane	3284
tt0092214	Wildcats	Q26665	wildcats	1465
tt0082927	Le Pont du Nord	Q25503	le-pont-du-nord	35558
tt0368008	The Manchurian Candidate	Q3589	manchurian_candidate	19498
tt0056937	Cleopatra	Q4430	1004330-cleopatra	2006
tt0493464	Wanted	Q4444	1174279-wanted	45567
tt0054156	Paris Belongs to Us	Q25513	null	18547
tt0201517	Charisma	Q25518	null	14706
tt0054377	Testament of Orpheus	Q25521	null	12012
tt0111400	Terminal Velocity	Q25760	terminal_velocity	3484
tt1351685	Jack the Giant Slayer	Q27513	jack_the_giant_slayer	81382
tt0089274	The Hills Have Eyes Part II	Q27536	hills_have_eyes_the_pt_2	8192
tt1321870	Gangster Squad	Q27751	gangster_squad_2012	80370
tt0473444	Curse of the Golden Flower	Q51737	curse_of_the_golden_flower	38080
tt0056264	Mutiny on the Bounty	Q59084	1014482-mutiny_on_the_bounty	5017
tt1028532	Hachi: A Dog's Tale	Q59249	hachi_a_dogs_tale	47522
tt0036613	Arsenic and Old Lace	Q59317	null	2545
tt0047136	Johnny Guitar	Q59318	null	5148
tt0139462	Message in a Bottle	Q49021	message_in_a_bottle	2306
tt0120647	Deep Impact	Q49498	deep_impact	315
tt0093507	Masters of the Universe	Q58972	masters_of_the_universe	1876
tt0087921	Places in the Heart	Q59073	places_in_the_heart	1607
tt1024648	Argo	Q59653	argo_2012	81590
tt1341167	Four Lions	Q5590	four_lions	65076
tt0434409	V for Vendetta	Q5890	v_for_vendetta	29364
tt1375666	Inception	Q25188	inception	59666
tt0119528	Liar Liar	Q48980	liar_liar	842
tt0095593	Married to the Mob	Q48984	married_to_the_mob	1888
tt0099653	Ghost	Q49003	1031086-ghost	352
tt2488496	Star Wars: The Force Awakens	Q6074	star_wars_episode_vii_the_force_awakens	104182
tt0325805	Matchstick Men	Q4536	matchstick_men	9998
tt1313139	The Oranges	Q4739	the_oranges_2011	79469
tt1074638	Skyfall	Q4941	skyfall	82188
tt2468774	Confession of Murder	Q28289	null	90476
tt0264395	Basic	Q28776	basic	8647
tt1772341	Wreck-It Ralph	Q28891	wreck_it_ralph	83291
tt1571222	A Dangerous Method	Q188159	a_dangerous_method	71183
tt0376108	Rebound	Q188335	rebound	27924
tt0118043	The Ogre	Q25069	1089805-ogre	7038
tt0169547	American Beauty	Q25139	american_beauty	191
tt0499549	Avatar	Q24871	avatar	17552
tt0079470	Monty Python’s Life of Brian	Q24953	monty_pythons_life_of_brian	1669
tt1538403	The Mortal Instruments: City of Bones	Q59346	null	85972
tt0381690	Heading South	Q59426	1162704-heading_south	32582
tt0031385	Goodbye, Mr. Chips	Q43228	1008627-goodbye_mr_chips	3056
tt1268799	A Very Harold & Kumar 3D Christmas	Q43408	very_harold_and_kumar_christmas	77850
tt0086143	Private School	Q44085	1016805-private_school	20024
tt2176013	Jab Tak Hai Jaan	Q44280	jab_tak_hai_jaan	89161
tt0050212	The Bridge on the River Kwai	Q188718	bridge_on_the_river_kwai	1071
tt0095953	Rain Man	Q188845	rain_man	400
tt0099685	Goodfellas	Q42047	1032176-goodfellas	292
tt0074486	Eraserhead	Q11618	eraserhead	2344
tt0083866	E.T. the Extra-Terrestrial	Q11621	et_the_extraterrestrial	351
tt0085959	Monty Python's The Meaning of Life	Q24980	monty_pythons_the_meaning_of_life	1915
tt0071853	Monty Python and the Holy Grail	Q25043	monty_python_and_the_holy_grail	1083
tt0088846	Brazil	Q25057	1003033-brazil	636
tt0795421	Mamma Mia!	Q188850	mamma_mia	44526
tt0089222	Gotcha!	Q8328	gotcha	3057
tt0115433	101 Dalmatians	Q8594	1074108-101_dalmatians	2312
tt1707386	Les Misérables	Q28234	les_miserables_2012	83895
tt0062824	Coogan's Bluff	Q45388	coogans_bluff	2192
tt1259521	The Cabin in the Woods	Q45394	1200439	59250
tt1549920	The Last Stand	Q45672	last_stand_2013	88798
tt0070328	Live and Let Die	Q27204	live_and_let_die	1207
tt0105121	The People Under the Stairs	Q27338	people_under_the_stairs	1271
tt1588173	Warm Bodies	Q27343	warm_bodies	80744
tt0938283	The Last Airbender	Q11593	last_airbender	58046
tt0056801	8½	Q12018	8-12	2580
tt0113243	Hackers	Q13908	hackers	488
tt0318034	Russian Ark	Q59721	russian_ark	8101
tt0333766	Garden State	Q59931	garden_state	19120
tt0075148	Rocky	Q188652	1017776-rocky	1016
tt0111341	Sátántangó	Q53481	satantango	11690
tt0081323	Pepi, Luci, Bom	Q53669	pepi_luci_bom	19235
tt1276104	Looper	Q53719	looper	76738
tt0348529	Anatomy of Hell	Q59531	anatomy_of_hell	17914
tt0063442	Planet of the Apes	Q59534	1016397	912
tt1324999	The Twilight Saga: Breaking Dawn – Part 1	Q60506	twilight_saga_breaking_dawn	73388
tt0095655	Moonwalker	Q44396	michael_jackson_moonwalker	1581
tt1477715	Michael Jackson's This Is It	Q44447	michael_jackson_this_is_it	60077
tt0120338	Titanic	Q44578	titanic	316
tt0402399	The New World	Q28193	1152954-new_world	25455
tt0816711	World War Z	Q28196	world-war-z	90206
tt0319262	The Day After Tomorrow	Q14320	day_after_tomorrow	15998
tt0160620	Oxygen	Q15618	oxygen	1680
tt0119468	Kiss the Girls	Q60016	kiss_the_girls	1264
tt0059742	The Sound of Music	Q60072	sound_of_music	1543
tt1182345	Moon	Q26751	10009075	50933
tt0206314	Joy Ride	Q26970	joy_ride	919
tt0049408	The King and I	Q27149	1011605-king_and_i	8005
tt0040416	Hamlet	Q27178	1009123-hamlet	2494
tt0082096	Das Boot	Q62730	das_boot	792
tt0076734	Soldier of Orange	Q62746	soldier_of_orange	984
tt0047101	Human Desire	Q62976	null	19507
tt0116209	The English Patient	Q63026	english_patient	513
tt0121766	Star Wars: Episode III – Revenge of the Sith	Q42051	star_wars_3	5924
tt0113277	Heat	Q42198	1068182-heat	237
tt0322330	Freaky Friday	Q118713	freaky_friday	11474
tt0120458	Virus	Q118914	1085867-virus	1099
tt0029850	Alexander Nevsky	Q118976	alexander_nevsky	4911
tt0259324	Ghost Rider	Q41754	ghost_rider	17946
tt1071875	Ghost Rider: Spirit of Vengeance	Q41854	ghost_rider_spirit_of_vengeance	78372
tt0024034	42nd Street	Q44662	42nd_street	2683
tt0375679	Crash	Q188000	1144992	20709
tt0772193	Primeval	Q188019	primeval	40331
tt0472043	Apocalypto	Q188035	apocalypto	34464
tt0042692	Variety Lights	Q18395	null	7245
tt0204700	Trouble Every Day	Q63991	trouble_every_day	3654
tt0938330	Silent Hill: Revelation 3D	Q64017	silent_hill_revelation_3d_2012	75168
tt0046672	20,000 Leagues Under the Sea	Q64110	1000079-20000_leagues_under_the_sea	2466
tt0222850	The Broken Hearts Club: A Romantic Comedy	Q29697	broken_hearts_club	3719
tt1772240	Apollo 18	Q29733	apollo_18	72744
tt0292542	Son of the Bride	Q59543	son_of_the_bride	8865
tt0365885	The Upside of Anger	Q59566	upside_of_anger	26297
tt0362225	Tell No One	Q59567	ne_le_dis_a_personne	38410
tt0280590	Mr. Deeds	Q59595	mr_deeds	1953
tt1931533	Seven Psychopaths	Q59610	seven_psychopaths	82253
tt0384680	The Weather Man	Q60296	weather_man	22958
tt0111003	The Puppet Masters	Q60362	puppet_masters	2185
tt1673434	The Twilight Saga: Breaking Dawn – Part 2	Q60487	twilight_saga_breaking_dawn_pt2	83680
tt0061789	How I Won the War	Q117090	how_i_won_the_war	23251
tt0107822	The Piano	Q117315	piano	969
tt1236484	Stoic	Q117359	null	56749
tt0329767	Wilbur Wants to Kill Himself	Q117378	null	15728
tt0058135	Le Gendarme de Saint-Tropez	Q117464	le_gendarme_de_sainttropez	1511
tt0188453	Birthday Girl	Q18964	birthday_girl	2078
tt0283111	National Lampoon's Van Wilder	Q18967	national_lampoons_van_wilder	2156
tt0054047	The Magnificent Seven	Q19069	1013077-magnificent_seven	2090
tt0113189	GoldenEye	Q19089	goldeneye	557
tt0117571	Scream	Q27411	1074316	394
tt0053779	La Dolce Vita	Q18407	dolce_vita	4372
tt0055805	Boccaccio '70	Q18409	null	5241
tt0059229	Juliet of the Spirits	Q18411	juliet_of_the_spirits	5105
tt0339291	Lemony Snicket's A Series of Unfortunate Events	Q116905	lemony_snicket	19704
tt1259571	The Twilight Saga: New Moon	Q116928	twilight_saga_new_moon	57149
tt0044000	The White Sheik	Q18397	null	11494
tt0046521	I Vitelloni	Q18399	null	8901
tt0047528	La Strada	Q18402	la_strada	1483
tt0047876	Il bidone	Q18403	null	7352
tt0074291	Fellini's Casanova	Q18429	null	11351
tt0079759	Orchestra Rehearsal	Q18431	null	11430
tt0080539	City of Women	Q18433	city_of_women	9069
tt0087188	And the Ship Sails On	Q18437	null	6950
tt0091113	Ginger and Fred	Q18439	null	2520
tt0419198	The Tiger and the Snow	Q19358	tiger_and_the_snow	31164
tt0115907	City Hall	Q44686	city_hall	588
tt0808399	New York, I Love You	Q44935	new_york_i_love_you	49722
tt0063256	Madigan	Q45304	null	10234
tt1924394	The Angels' Share	Q45318	the_angels_share	81862
tt0024548	She Done Him Wrong	Q62163	she_done_him_wrong	10071
tt0070735	The Sting	Q62665	1020130-sting	1247
tt2023587	Mama	Q29446	mama_2013	88497
tt1859650	To Rome with Love	Q29658	to_rome_with_love	84096
tt1939659	Carrie	Q45384	carrie	83781
tt0049366	Invasion of the Body Snatchers	Q45386	1010678-invasion_of_the_body_snatchers	1808
tt0087578	Wheels on Meals	Q60792	null	9344
tt0064665	Midnight Cowboy	Q61696	midnight_cowboy	963
tt0246460	Die Another Day	Q30931	die_another_day	2346
tt0108471	Abraham's Valley	Q123259	null	14054
tt1060277	Cloverfield	Q123742	cloverfield	45971
tt0046876	Creature from the Black Lagoon	Q124612	1004906-creature_from_the_black_lagoon	4706
tt1371111	Cloud Atlas	Q28936	cloud_atlas_2012	81812
tt0347149	Howl's Moving Castle	Q29011	howls_moving_castle	11583
tt0063715	Spirits of the Dead	Q18415	null	7022
tt0064940	Satyricon	Q18416	fellini_satyricon	5168
tt0069191	Roma	Q18423	fellinis_roma	4925
tt0071129	Amarcord	Q18428	amarcord	1476
tt0078056	Paradise Alley	Q19268	null	8344
tt0095869	The Little Devil	Q19320	null	22824
tt0102164	Johnny Stecchino	Q19322	null	2931
tt0110570	The Monster	Q19352	null	8084
tt0118799	Life Is Beautiful	Q19355	1084398-life_is_beautiful	670
tt0332639	Together	Q71978	together	11517
tt0424205	Joyeux Noël	Q72090	joyeux_noel	30226
tt1726888	Clandestine Childhood	Q72162	null	89174
tt0050783	Nights of Cabiria	Q18405	nights_of_cabiria	4854
tt0212826	Bread and Roses	Q125494	bread_and_roses	4954
tt0069293	Solaris	Q125772	solyaris	3858
tt1027862	Swing Vote	Q11928	swing_vote	46700
tt0040497	Jour de Fête	Q29867	the-big-day-jour-de-fete	5128
tt0282687	Life or Something Like It	Q29871	life_or_something_like_it	2299
tt1193088	Change of Plans	Q383024	null	54447
tt0387898	Caché	Q383173	10003671-cache	30225
tt0045810	Gentlemen Prefer Blondes	Q383355	gentlemen_prefer_blondes	3250
tt0181530	East/West	Q383581	null	11531
tt0156587	Flowers of Shanghai	Q383729	flowers_of_shanghai	5556
tt0369053	Separate Lies	Q383810	null	30211
tt0259288	Dragonfly	Q119341	dragonfly	2080
tt1964624	In the House	Q119526	in_the_house_2013	82857
tt0775552	Aliens in the Attic	Q119889	aliens_in_the_attic	53482
tt1018785	The Sisterhood of the Traveling Pants 2	Q16458	sisterhood_of_the_traveling_pants_2	46422
tt1462758	Buried	Q16782	buried	59611
tt0076759	Star Wars Episode IV: A New Hope	Q17738	star_wars	84
tt0055630	Yojimbo	Q20475	yojimbo	2438
tt0246894	Rollerball	Q383844	rollerball	1768
tt0043067	Treasure Island	Q383854	1021964-treasure_island	15667
tt0903627	Julia	Q384040	10009552-julia	43858
tt0414852	District 13	Q70069	district_b13	26768
tt0428856	La Moustache	Q71920	null	31336
tt0206275	Save the Last Dance	Q71960	save_the_last_dance	146
tt0096895	Batman	Q116852	1001781-batman	337
tt0210945	Remember the Titans	Q117696	remember_the_titans	136
tt1022606	Lion's Den	Q118114	null	50322
tt0101921	Fried Green Tomatoes	Q118375	fried_green_tomatoes	3425
tt0049006	Beyond a Reasonable Doubt	Q384325	beyond_a_reasonable_doubt	10579
tt0043265	The African Queen	Q384397	african_queen	1533
tt1646980	The Double	Q385036	the_double_2011	78834
tt0110622	Naked Gun 33⅓: The Final Insult	Q385309	naked_gun_33_13_the_final_insult	1760
tt1298649	The Watch	Q29313	the_watch_2012	81690
tt0286106	Signs	Q22432	signs	1906
tt0120669	Fear and Loathing in Las Vegas	Q23395	fear_and_loathing_in_las_vegas	669
tt1343703	The Brest Fortress	Q23871	brestskaya_krepost	72101
tt0478134	In the Valley of Elah	Q126896	in_the_valley_of_elah	43096
tt0022100	M	Q127021	1012928-m	1109
tt1591095	Insidious	Q122713	insidious	69191
tt0100107	Maniac Cop 2	Q123097	maniac_cop_2	13319
tt0107007	Gettysburg	Q123166	1046038-gettysburg	3930
tt0361127	The Woodsman	Q120105	woodsman	24017
tt0113010	Fair Game	Q120484	1065868	4982
tt0039853	Song of the Thin Man	Q120626	null	23376
tt1375670	Grown Ups	Q121810	grown_ups	61551
tt0298228	Whale Rider	Q19393	whale_rider	9089
tt0142688	The Ninth Gate	Q19405	ninth_gate	60
tt0099348	Dances with Wolves	Q20456	dances_with_wolves	739
tt0103776	Batman Returns	Q189054	batman_returns	338
tt1512235	Super	Q122113	super-2010	68186
tt0772181	Krabat	Q122652	null	41127
tt1409024	Men in Black 3	Q327713	men_in_black_iii	82216
tt0093267	Intervista	Q18441	null	10831
tt0098606	The Voice of the Moon	Q18442	null	6958
tt1104001	Tron: Legacy	Q18954	10011582-tron_legacy	59176
tt0165798	Ghost Dog: The Way of the Samurai	Q327332	ghost_dog_the_way_of_the_samurai	48
tt0478813	Klopka	Q327550	null	45250
tt0083907	The Evil Dead	Q327604	the-evil-dead	518
tt0815245	The Uninvited	Q327613	uninvited_2009	44597
tt0096463	Working Girl	Q126183	working_girl	1037
tt0067885	The Third Part of the Night	Q64148	trzecia-czesc-nocy-the-third-part-of-the-night	15903
tt0139134	Cruel Intentions	Q64151	cruel_intentions	300
tt0419749	Find Me Guilty	Q64173	find_me_guilty	31108
tt0078492	The Wild Geese	Q64211	wild_geese	16330
tt0340163	Hostage	Q328320	1141099-hostage	25423
tt0058548	Santa Claus Conquers the Martians	Q328442	santa_claus_conquers_the_martians	12639
tt0348150	Superman Returns	Q328695	superman_returns	30255
tt0328099	Malibu's Most Wanted	Q126492	malibus_most_wanted	10005
tt0484877	Wedding Daze	Q126637	pleasure_of_your_company	39333
tt0095174	Frantic	Q126652	1007832-frantic	987
tt1205489	Gran Torino	Q126699	gran_torino	53238
tt0047478	Seven Samurai	Q189540	1018639-seven_samurai	1102
tt0234215	The Matrix Reloaded	Q189600	matrix_reloaded	1958
tt0074084	1900	Q124697	1000039-1900	3025
tt0099763	Henry: Portrait of a Serial Killer	Q125058	henry_portrait_of_a_serial_killer	1574
tt1010048	Slumdog Millionaire	Q125076	slumdog_millionaire	50507
tt0063152	Je t'aime, je t'aime	Q245920	je-taime-je-taime	18416
tt1975249	Six Bullets	Q246086	6_bullets	79906
tt0361467	Confessions of a Teenage Drama Queen	Q246228	confessions_of_a_teenage_drama_queen	17516
tt0041503	Impact	Q246240	null	13236
tt1649444	REC 3: Genesis	Q246391	rec_3_genesis	77839
tt0031397	Gulliver's Travels	Q246418	1009027-gullivers_travels	9337
tt0780595	Redline	Q247091	redline	41549
tt0050086	3:10 to Yuma	Q247130	1000123-310_to_yuma	7490
tt0452623	Gone Baby Gone	Q247182	gone_baby_gone	43375
tt0081614	Cousins in Love	Q247365	null	6770
tt1242460	We Need to Talk About Kevin	Q247470	we_need_to_talk_about_kevin	66113
tt1155076	The Karate Kid	Q327685	karate_kid_2010	61948
tt0107471	My Favorite Season	Q385339	null	9296
tt0791309	I Want Candy	Q385380	i-want-candy	41148
tt0376968	The Return	Q385494	1130023-return	18089
tt0105690	Under Siege	Q385798	under_siege	838
tt0046511	Journey to Italy	Q385866	journey-to-italy-viaggio-in-italia	4870
tt0299658	Chicago	Q189889	chicago	4299
tt0338337	Paycheck	Q247516	paycheck	12675
tt0975645	Hitchcock	Q247733	hitchcock	89417
tt1498887	Women Without Men	Q327667	null	62131
tt0276919	Dogville	Q327681	dogville	10034
tt0238936	Devdas	Q247854	null	11197
tt0131369	EDtv	Q386291	edtv	635
tt0051983	Nazarín	Q386522	null	10864
tt0220580	Intacto	Q386611	intacto	7393
tt0065569	Count Dracula	Q386714	null	19220
tt1104006	Walled In	Q387032	null	49660
tt0308476	The Cuckoo	Q387140	null	12116
tt0120747	Martha, Meet Frank, Daniel and Laurence	Q386094	very_thought_of_you	1544
tt0093605	Near Dark	Q386164	1014793-near_dark	4716
tt0085426	Le Dernier Combat	Q386210	le_dernier_combat	3921
tt0057261	Lord of the Flies	Q386245	1012710-lord_of_the_flies	6392
tt1345836	The Dark Knight Rises	Q189330	the_dark_knight_rises	80594
tt0114369	Seven	Q190908	1066164-seven	190
tt1440266	Pina	Q327027	pina_3d	72690
tt1535438	Hope Springs	Q327214	hope_springs_2012	84575
tt0337921	Cellular	Q327312	cellular	19497
tt0120910	Fantasia 2000	Q30937	fantasia_2000	8395
tt0465234	National Treasure: Book of Secrets	Q388360	national-treasure-2-book-of-secrets	42606
tt0082329	Endless Love	Q388408	endless_love	7568
tt0472399	The Mechanic	Q388476	mechanic	60850
tt0073195	Jaws	Q189505	1010942	909
tt0137523	Fight Club	Q190050	fight_club	175
tt1255955	Men in the City	Q327809	men-in-the-city	60656
tt1339161	The Robber	Q327953	null	64299
tt1714203	Piranha 3DD	Q328208	piranha_3dd	38546
tt0086879	Amadeus	Q190956	amadeus	1166
tt0356910	Mr. & Mrs. Smith	Q191040	mr_and_mrs_smith	26188
tt0107057	Guilty as Sin	Q387868	guilty_as_sin	4465
tt0385842	The Wolf	Q388022	null	36127
tt0253754	Star Trek: Nemesis	Q388319	star_trek_nemesis	2345
tt0086450	To Be or Not to Be	Q248794	1021558-to_be_or_not_to_be	17747
tt0116508	Heaven's Prisoners	Q249032	heavens_prisoners	7569
tt0910905	In the Electric Mist	Q249040	in_the_electric_mist	43094
tt0471041	The Tournament	Q249151	1218133-tournament	45127
tt1636826	Project X	Q249215	project_x_2011	80494
tt1152836	Public Enemies	Q329448	10009526-public_enemies	48987
tt0026752	Mutiny on the Bounty	Q329709	1014481-mutiny_on_the_bounty	2051
tt0116250	Evita	Q245271	evita	999
tt1486193	5 Days of War	Q245430	5_days_of_war	62734
tt0354356	5x2	Q245465	null	22557
tt0192718	The Man Who Sleeps	Q245638	null	49054
tt1185837	The Cell 2	Q245641	null	57385
tt0443489	Dreamgirls	Q329056	dreamgirls	35947
tt0252866	American Pie 2	Q329127	american_pie_2	532
tt0076085	A Special Day	Q249782	special_day	5923
tt0057071	4 for Texas	Q249931	4_for_texas	7491
tt0071866	Mr. Majestyk	Q250107	mr_majestyk	5305
tt0053825	Flaming Star	Q250252	null	10114
tt0128133	Comedian Harmonists	Q329007	the_harmonists	4440
tt0061787	Hour of the Gun	Q389773	null	3545
tt0102469	Mortal Thoughts	Q389791	mortal_thoughts	2001
tt0078908	The Brood	Q389911	brood	3337
tt0099747	Havana	Q389925	havana	3964
tt0185125	All About My Mother	Q329805	all_about_my_mother	1385
tt0428803	March of the Penguins	Q330113	march_of_the_penguins	28576
tt0453451	Mr. Bean's Holiday	Q330332	mr_beans_holiday	37642
tt1393746	Aftershock	Q389303	aftershock_the_imax_experience	66084
tt0397619	Samaritan Girl	Q389348	samaritan-girl	19832
tt0110300	The Land Before Time II: The Great Valley Adventure	Q389358	null	5677
tt0940657	Arthur and the Revenge of Maltazard	Q389466	arthur_and_the_invisibles_2_arthur_and_the_revenge_of_maltazard	47275
tt0770703	What's Your Number?	Q389548	whats_your_number	73292
tt0385700	Final Fantasy VII: Advent Children	Q387674	null	18447
tt0445336	You, the Living	Q387727	du_levande	42499
tt0038235	A Walk in the Sun	Q387832	null	10255
tt1229822	Jane Eyre	Q258979	jane_eyre_2011	65700
tt0108592	Once Upon a Time in China III	Q259332	null	5325
tt0116275	A Family Thing	Q300401	family_thing	3486
tt1139319	A Film with Me in It	Q300405	null	46243
tt0109920	A Good Man in Africa	Q300423	good_man_in_africa	9663
tt0109417	China Moon	Q387562	china_moon	6488
tt0477347	Night at the Museum	Q387601	night_at_the_museum	38125
tt0100740	Tales from the Darkside: The Movie	Q387603	tales_from_the_darkside_the_movie	5833
tt0089927	Rocky IV	Q387638	rocky_iv	1019
tt0209144	Memento	Q190525	memento	130
tt0113613	The Last Supper	Q127045	1071464-last_supper	475
tt1691323	Attenberg	Q127267	attenberg	68926
tt0120737	The Lord of the Rings: The Fellowship of the Ring	Q127367	lord_of_the_rings_the_fellowship_of_the_ring	500
tt0094606	The Accidental Tourist	Q248289	accidental_tourist	5122
tt0374339	Infernal Affairs III	Q248354	infernal_affairs_3	17217
tt0389328	Rise: Blood Hunter	Q248562	rise_blood_hunter	34113
tt0079501	Mad Max	Q248775	mad_max	371
tt1220888	Henry's Crime	Q127414	henrys_crime_2010	68677
tt0091344	King Kong Lives	Q127421	king_kong_lives	7629
tt0100438	Puppet Master II	Q127427	null	12783
tt0985694	Machete	Q128493	machete	59376
tt0314331	Love Actually	Q190588	love_actually	8654
tt0913425	Broken Embraces	Q192022	broken_embraces	51793
tt0449059	Little Miss Sunshine	Q192073	little_miss_sunshine	34687
tt0401792	Sin City	Q192115	sin_city	25000
tt0952640	Alvin and the Chipmunks	Q387348	1184827-alvin_and_the_chipmunks	43978
tt0057187	Irma la Douce	Q387370	irma_la_douce	1968
tt1148204	Orphan	Q387414	10010658-orphan	54688
tt0116695	Jerry Maguire	Q329131	jerry_maguire	408
tt0112368	Angus	Q329145	angus	26986
tt0087800	A Nightmare on Elm Street	Q329434	nightmare_on_elm_street	1078
tt0022958	Grand Hotel	Q246656	grand_hotel	614
tt0219699	The Gift	Q246711	1103231-gift	149
tt0247196	Before Night Falls	Q246997	before_night_falls	2605
tt0388139	It's All Gone Pete Tong	Q128503	null	27216
tt0072037	Scent of a Woman	Q128504	null	12367
tt0172495	Gladiator	Q128518	gladiator	56
tt2002718	Machete Kills	Q128187	machete_kills	86264
tt0061101	Tokyo Drifter	Q128320	tokyo_drifter	2219
tt1024943	Om Shanti Om	Q330468	om_shanti_om	44946
tt0116136	Dragonheart	Q330612	dragonheart	460
tt1119191	The Killing Room	Q250401	1214790-killing_room	55196
tt1528313	Nothing to Declare	Q250447	null	67275
